ATHLETE,TIME,DATE,YEAR,COUNTRY
Johnny Hayes,2:55:18,7/24/1908,1908,United States
Robert Fowler,2:52:45,1/1/1909,1909,United States
James Clark,2:46:52,2/12/1909,1909,United States
Albert Raines,2:46:04,5/8/1909,1909,United States
Henry Barret,2:42:31,5/26/1909,1909,United Kingdom
Thure Johansson,2:40:34,8/31/1909,1909,Sweden
Harry Green,2:38:16,5/12/1913,1913,United Kingdom
Alexis Ahlgren,2:36:06,5/31/1913,1913,Sweden
Hannes Kolehmainen,2:32:35,8/22/1920,1920,Finland
Albert Michelsen,2:29:01,10/12/1925,1925,United States
Fusashige Suzuki,2:27:49,3/31/1935,1935,Japan
Yasuo Ikenaka,2:26:44,4/3/1935,1935,Japan
Sohn Kee-chung,2:26:42,11/3/1935,1935,Japan
Suh Yun-bok,2:25:39,4/19/1947,1947,Korea
Jim Peters,2:20:42,6/14/1952,1952,United Kingdom
Jim Peters,2:18:40,6/13/1953,1953,United Kingdom
Jim Peters,2:18:34,10/4/1953,1953,United Kingdom
Jim Peters,2:17:39,6/26/1954,1954,United Kingdom
Sergei Popov,2:15:17,8/24/1958,1958,Soviet Union
Abebe Bikila,2:15:16,9/10/1960,1960,Ethiopia
Toru Teresawa,2:15:15,2/17/1963,1963,Japan
Leonard Edelen,2:14:28,6/15/1963,1963,United States
Basil Heatley,2:13:55,6/13/1964,1964,United Kingdom
Abebe Bikila,2:12:11,10/21/1964,1964,Ethiopia
Morio Shigematsu,2:12:00,6/12/1965,1965,Japan
Derek Clayton,2:09:36,12/3/1967,1967,Australia
Derek Clayton,2:08:33,5/30/1969,1969,Australia
Robert De Castella,2:08:18,12/6/1981,1981,Australia
Steve Jones,2:08:05,10/21/1984,1984,United Kingdom
Carlos Lopes,2:07:12,4/20/1985,1985,Portugal
Belayneh Dinsamo,2:06:50,4/17/1988,1988,Ethiopia
Ronaldo da Costa,2:06:05,9/20/1998,1998,Brazil
Khalid Khannouchi,2:05:43,10/24/1999,1999,Morocco
Khalid Khannouchi,2:05:38,4/14/2002,2002,United States
Paul Tergat,2:04:55,9/28/2003,2003,Kenya
Haile Gebrselassie,2:04:26,9/30/2007,2007,Ethiopia
Haile Gebrselassie,2:03:59,9/28/2008,2008,Ethiopia
Patrick Makau,2:03:38,9/25/2011,2011,Kenya
Wilson Kipsang,2:03:23,9/29/2013,2013,Kenya
Dennis Kimetto,2:02:57,9/28/2014,2014,Kenya
Eliud Kipchoge,2:01:39,9/16/2018,2018,Kenya
