ATHLETE,TIME,DATE,YEAR,COUNTRY
Violet Piercy,3:40:22,10/3/1926,1926,United Kingdom
Merry Lepper,3:37:07,12/16/1963,1963,United States
Dale Greig,3:27:45,5/23/1964,1964,United Kingdom
Mildred Sampson,3:19:33,7/21/1964,1964,New Zealand
Maureen Wilton,3:15:23,5/6/1967,1967,Canada
Anni Pede-Erdkamp,3:07:27,9/16/1967,1967,West Germany
Caroline Walker,3:02:53,2/28/1970,1970,United States
Elizabeth Bonner,3:01:42,5/9/1971,1971,United States
Elizabeth Bonner,2:55:22,9/19/1971,1971,United States
Cheryl Bridges,2:49:40,12/5/1971,1971,United States
Michiko Gorman,2:46:36,12/2/1973,1973,United States
Chantal Langlace,2:46:24,10/27/1974,1974,France
Jacqueline Hansen,2:43:54,12/1/1974,1974,United States
Liane Winter,2:42:24,4/21/1975,1975,West Germany
Christa Vahlensieck,2:40:15,5/3/1975,1975,West Germany
Jacqueline Hansen,2:38:19,10/12/1975,1975,United States
Chantal Langlace,2:35:15,5/1/1977,1977,France
Christa Vahlensieck,2:34:47,9/10/1977,1977,West Germany
Grete Waltz,2:32:29,10/22/1978,1978,Norway
Grete Waltz,2:27:32,10/21/1979,1979,Norway
Grete Waltz,2:25:41,10/26/1980,1980,Norway
Allison Roe,2:25:28,10/25/1981,1981,New Zealand
Grete Waltz,2:25:28,4/17/1983,1983,Norway
Joan Benoit,2:22:43,4/18/1983,1983,United States
Ingrid Kristiansen,2:21:06,4/21/1985,1985,Norway
Tegla Loroupe,2:20:47,4/19/1998,1998,Kenya
Tegla Loroupe,2:20:43,9/26/1999,1999,Kenya
Naoko Takahashi,2:19:46,9/30/2001,2001,Japan
Catherine Ndereba,2:18:47,10/7/2001,2001,Kenya
Paula Radcliffe,2:17:18,10/13/2002,2002,United Kingdom
Paula Radcliffe,2:15:25,4/13/2003,2003,United Kingdom
