ATHLETE,TIME,DATE,YEAR,COUNTRY,Gender
Johnny Hayes,2:55:18,7/24/08,1908,United States,Male
Robert Fowler,2:52:45,1/1/09,1909,United States,Male
James Clark,2:46:52,2/12/09,1909,United States,Male
Albert Raines,2:46:04,5/8/09,1909,United States,Male
Henry Barret,2:42:31,5/26/09,1909,United Kingdom,Male
Thure Johansson,2:40:34,8/31/09,1909,Sweden,Male
Harry Green,2:38:16,5/12/13,1913,United Kingdom,Male
Alexis Ahlgren,2:36:06,5/31/13,1913,Sweden,Male
Hannes Kolehmainen,2:32:35,8/22/20,1920,Finland,Male
Albert Michelsen,2:29:01,10/12/25,1925,United States,Male
Fusashige Suzuki,2:27:49,3/31/35,1935,Japan,Male
Yasuo Ikenaka,2:26:44,4/3/35,1935,Japan,Male
Sohn Kee-chung,2:26:42,11/3/35,1935,Japan,Male
Suh Yun-bok,2:25:39,4/19/47,1947,Korea,Male
Jim Peters,2:20:42,6/14/52,1952,United Kingdom,Male
Jim Peters,2:18:40,6/13/53,1953,United Kingdom,Male
Jim Peters,2:18:34,10/4/53,1953,United Kingdom,Male
Jim Peters,2:17:39,6/26/54,1954,United Kingdom,Male
Sergei Popov,2:15:17,8/24/58,1958,Soviet Union,Male
Abebe Bikila,2:15:16,9/10/60,1960,Ethiopia,Male
Toru Teresawa,2:15:15,2/17/63,1963,Japan,Male
Leonard Edelen,2:14:28,6/15/63,1963,United States,Male
Basil Heatley,2:13:55,6/13/64,1964,United Kingdom,Male
Abebe Bikila,2:12:11,10/21/64,1964,Ethiopia,Male
Morio Shigematsu,2:12:00,6/12/65,1965,Japan,Male
Derek Clayton,2:09:36,12/3/67,1967,Australia,Male
Derek Clayton,2:08:33,5/30/69,1969,Australia,Male
Robert De Castella,2:08:18,12/6/81,1981,Australia,Male
Steve Jones,2:08:05,10/21/84,1984,United Kingdom,Male
Carlos Lopes,2:07:12,4/20/85,1985,Portugal,Male
Belayneh Dinsamo,2:06:50,4/17/88,1988,Ethiopia,Male
Ronaldo da Costa,2:06:05,9/20/98,1998,Brazil,Male
Khalid Khannouchi,2:05:43,10/24/99,1999,Morocco,Male
Khalid Khannouchi,2:05:38,4/14/02,2002,United States,Male
Paul Tergat,2:04:55,9/28/03,2003,Kenya,Male
Haile Gebrselassie,2:04:26,9/30/07,2007,Ethiopia,Male
Haile Gebrselassie,2:03:59,9/28/08,2008,Ethiopia,Male
Patrick Makau,2:03:38,9/25/11,2011,Kenya,Male
Wilson Kipsang,2:03:23,9/29/13,2013,Kenya,Male
Dennis Kimetto,2:02:57,9/28/14,2014,Kenya,Male
Eliud Kipchoge,2:01:39,9/16/18,2018,Kenya,Male
Violet Piercy,3:40:22,10/3/26,1926,United Kingdom,Female
Merry Lepper,3:37:07,12/16/63,1963,United States,Female
Dale Greig,3:27:45,5/23/64,1964,United Kingdom,Female
Mildred Sampson,3:19:33,7/21/64,1964,New Zealand,Female
Maureen Wilton,3:15:23,5/6/67,1967,Canada,Female
Anni Pede-Erdkamp,3:07:27,9/16/67,1967,West Germany,Female
Caroline Walker,3:02:53,2/28/70,1970,United States,Female
Elizabeth Bonner,3:01:42,5/9/71,1971,United States,Female
Elizabeth Bonner,2:55:22,9/19/71,1971,United States,Female
Cheryl Bridges,2:49:40,12/5/71,1971,United States,Female
Michiko Gorman,2:46:36,12/2/73,1973,United States,Female
Chantal Langlace,2:46:24,10/27/74,1974,France,Female
Jacqueline Hansen,2:43:54,12/1/74,1974,United States,Female
Liane Winter,2:42:24,4/21/75,1975,West Germany,Female
Christa Vahlensieck,2:40:15,5/3/75,1975,West Germany,Female
Jacqueline Hansen,2:38:19,10/12/75,1975,United States,Female
Chantal Langlace,2:35:15,5/1/77,1977,France,Female
Christa Vahlensieck,2:34:47,9/10/77,1977,West Germany,Female
Grete Waltz,2:32:29,10/22/78,1978,Norway,Female
Grete Waltz,2:27:32,10/21/79,1979,Norway,Female
Grete Waltz,2:25:41,10/26/80,1980,Norway,Female
Allison Roe,2:25:28,10/25/81,1981,New Zealand,Female
Grete Waltz,2:25:28,4/17/83,1983,Norway,Female
Joan Benoit,2:22:43,4/18/83,1983,United States,Female
Ingrid Kristiansen,2:21:06,4/21/85,1985,Norway,Female
Tegla Loroupe,2:20:47,4/19/98,1998,Kenya,Female
Tegla Loroupe,2:20:43,9/26/99,1999,Kenya,Female
Naoko Takahashi,2:19:46,9/30/01,2001,Japan,Female
Catherine Ndereba,2:18:47,10/7/01,2001,Kenya,Female
Paula Radcliffe,2:17:18,10/13/02,2002,United Kingdom,Female
Paula Radcliffe,2:15:25,4/13/03,2003,United Kingdom,Female
